epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54915,1.99512,5.3091,1.5133,0.0125,0.04167,0.0025,0.00075,1.92054,6.35197,1.55632,0,0,0
2,3.28187,2.18991,5.04209,1.75782,0.01562,0.08333,0.00467,0.00126,1.76871,5.44809,1.45973,1.63399e-05,1.63399e-05,1.63399e-05
3,5.05092,2.01246,4.92293,1.49668,0.02395,0.25833,0.02968,0.00877,1.69715,4.34928,1.37224,3.20197e-05,3.20197e-05,3.20197e-05
4,6.9804,1.8378,3.97033,1.41641,0.04369,0.125,0.05871,0.02669,1.61211,3.49832,1.24682,4.70394e-05,4.70394e-05,4.70394e-05
5,8.6437,1.64898,3.74805,1.49863,0.60298,0.30833,0.31334,0.13135,1.60447,2.58128,1.13303,6.13989e-05,6.13989e-05,6.13989e-05
6,10.369,1.598,3.11105,1.28078,0.60776,0.60155,0.64433,0.32492,1.60722,2.01389,1.17685,7.50984e-05,7.50984e-05,7.50984e-05
7,12.1482,1.57541,2.83624,1.1662,0.74289,0.575,0.74179,0.37428,1.50362,2.28428,1.13478,8.81376e-05,8.81376e-05,8.81376e-05
8,13.8755,1.74888,3.12558,1.35423,0.7337,0.75833,0.78925,0.42302,1.47617,2.62072,1.07742,0.000100517,0.000100517,0.000100517
9,15.8822,1.65263,2.62885,1.23357,0.69743,0.80833,0.80776,0.44519,1.46669,2.66048,1.07046,0.000112236,0.000112236,0.000112236
10,17.6598,1.42382,2.2187,1.1743,0.79283,0.7804,0.84416,0.50045,1.38692,2.32323,1.14103,0.000123295,0.000123295,0.000123295
11,19.442,1.39496,2.13124,1.18992,0.84315,0.75833,0.85173,0.52445,1.32476,2.09899,1.12313,0.000133693,0.000133693,0.000133693
12,21.2525,1.4673,1.995,1.11883,0.95007,0.69619,0.81911,0.515,1.31536,1.91574,1.09022,0.000143432,0.000143432,0.000143432
13,23.1444,1.61739,1.9339,1.12929,0.90339,0.75833,0.84209,0.56159,1.24183,1.68417,1.15232,0.00015251,0.00015251,0.00015251
14,24.9475,1.30355,1.84877,1.13385,0.79253,0.90833,0.88087,0.61261,1.20662,1.32674,1.12824,0.000160929,0.000160929,0.000160929
15,26.7584,1.55499,1.68729,1.1869,0.98582,0.81407,0.92885,0.64823,1.18677,1.21246,1.11573,0.000168687,0.000168687,0.000168687
16,28.5396,1.38144,1.63355,1.14025,0.98903,0.80611,0.94851,0.67647,1.1227,1.25086,1.10388,0.000175785,0.000175785,0.000175785
17,30.4386,1.57893,2.07698,1.33129,0.95614,0.77477,0.94891,0.71098,1.10563,1.14785,1.10081,0.000182223,0.000182223,0.000182223
18,32.1619,1.23894,1.88164,1.13973,0.95614,0.77477,0.94891,0.71098,1.10563,1.14785,1.10081,0.000188001,0.000188001,0.000188001
19,34.0082,1.11747,1.51521,1.0575,0.95481,0.75229,0.95738,0.72658,1.04848,1.05236,1.09503,0.000193119,0.000193119,0.000193119
20,36.0805,1.2974,1.44455,1.09782,0.95481,0.75229,0.95738,0.72658,1.04848,1.05236,1.09503,0.000197576,0.000197576,0.000197576
21,38.0937,1.26288,1.58202,1.10989,0.79687,0.91953,0.9203,0.69322,1.00553,1.0109,1.07815,0.000201374,0.000201374,0.000201374
22,39.8584,1.41057,1.48331,1.1605,0.79687,0.91953,0.9203,0.69322,1.00553,1.0109,1.07815,0.000204511,0.000204511,0.000204511
23,41.6388,1.24123,1.50878,1.17337,0.83779,0.94202,0.92999,0.70999,0.9897,0.90806,1.11731,0.000206988,0.000206988,0.000206988
24,43.3628,1.18643,1.26771,1.12072,0.83779,0.94202,0.92999,0.70999,0.9897,0.90806,1.11731,0.000208805,0.000208805,0.000208805
25,45.2428,1.22097,1.15784,1.16883,0.90484,0.90464,0.94644,0.70758,1.03399,0.89403,1.14643,0.000209962,0.000209962,0.000209962
26,46.9753,1.07262,1.03305,1.03791,0.90484,0.90464,0.94644,0.70758,1.03399,0.89403,1.14643,0.000210459,0.000210459,0.000210459
27,48.7601,1.06379,1.24202,1.09003,0.91522,0.89673,0.94434,0.70389,1.0439,0.89227,1.14603,0.000210295,0.000210295,0.000210295
28,50.6029,1.15946,1.26007,1.15689,0.91522,0.89673,0.94434,0.70389,1.0439,0.89227,1.14603,0.000209472,0.000209472,0.000209472
29,52.4481,1.07525,1.04382,1.03903,0.99296,0.7956,0.9475,0.6913,1.07886,0.94758,1.15194,0.000207988,0.000207988,0.000207988
30,54.2077,1.10461,0.95494,1.07405,0.99296,0.7956,0.9475,0.6913,1.07886,0.94758,1.15194,0.000205844,0.000205844,0.000205844
31,56.022,1.20089,1.17201,1.10075,0.98648,0.775,0.93345,0.68501,1.10316,1.03417,1.16812,0.000203041,0.000203041,0.000203041
32,57.8018,1.19501,0.99065,1.06042,0.98648,0.775,0.93345,0.68501,1.10316,1.03417,1.16812,0.000199577,0.000199577,0.000199577
33,59.6421,1.10846,1.09471,1.11982,0.98179,0.8091,0.94871,0.66086,1.14079,1.02178,1.18626,0.000195452,0.000195452,0.000195452
34,61.421,1.24488,1.07816,1.08763,0.98179,0.8091,0.94871,0.66086,1.14079,1.02178,1.18626,0.000190668,0.000190668,0.000190668
35,63.2272,0.99478,1.04074,1.02985,0.99296,0.88233,0.975,0.67884,1.23123,0.83463,1.21908,0.000185224,0.000185224,0.000185224
36,65.0038,1.09679,0.73776,1.07844,0.99296,0.88233,0.975,0.67884,1.23123,0.83463,1.21908,0.000179119,0.000179119,0.000179119
37,66.836,1.20436,1.09284,1.07305,0.99309,0.87952,0.98026,0.68296,1.21361,0.75899,1.20563,0.000172354,0.000172354,0.000172354
38,68.6177,1.18394,0.98294,1.09185,0.99309,0.87952,0.98026,0.68296,1.21361,0.75899,1.20563,0.00016493,0.00016493,0.00016493
39,70.445,1.1963,0.97734,1.17713,0.95322,0.95833,0.98324,0.70463,1.22336,0.71619,1.20622,0.000156845,0.000156845,0.000156845
40,72.2226,0.94827,0.78371,1.00577,0.95322,0.95833,0.98324,0.70463,1.22336,0.71619,1.20622,0.0001481,0.0001481,0.0001481
41,74.0964,1.10679,0.97884,1.11086,0.96797,0.95833,0.98167,0.69425,1.22002,0.69173,1.21134,0.000138694,0.000138694,0.000138694
42,75.9234,1.00823,1.10391,1.16953,0.96797,0.95833,0.98167,0.69425,1.22002,0.69173,1.21134,0.000128629,0.000128629,0.000128629
43,77.7407,0.95147,0.99325,1.05352,0.96434,0.95833,0.98324,0.69494,1.20833,0.6866,1.22404,0.000117904,0.000117904,0.000117904
44,79.504,0.99821,0.96206,1.06344,0.96434,0.95833,0.98324,0.69494,1.20833,0.6866,1.22404,0.000106518,0.000106518,0.000106518
45,81.2897,1.14652,0.99523,1.03205,0.97484,0.95833,0.98167,0.69615,1.22546,0.65908,1.23992,9.44722e-05,9.44722e-05,9.44722e-05
46,83.0482,1.12999,1.02126,1.0744,0.97484,0.95833,0.98167,0.69615,1.22546,0.65908,1.23992,8.17663e-05,8.17663e-05,8.17663e-05
47,84.8687,0.92639,0.92942,0.98739,0.97582,0.95833,0.985,0.69802,1.20963,0.64407,1.24572,6.84003e-05,6.84003e-05,6.84003e-05
48,86.6357,0.95019,0.83777,1.01383,0.97582,0.95833,0.985,0.69802,1.20963,0.64407,1.24572,5.43742e-05,5.43742e-05,5.43742e-05
49,88.4556,0.92401,0.80791,0.93776,0.97114,0.95833,0.987,0.69449,1.19928,0.63404,1.24439,3.96879e-05,3.96879e-05,3.96879e-05
50,90.2601,0.81359,0.95796,1.05439,0.97114,0.95833,0.987,0.69449,1.19928,0.63404,1.24439,2.43415e-05,2.43415e-05,2.43415e-05
